date,RF,MKT,SMB,HML,MOM,ASSET_A,ASSET_B,ASSET_C,ASSET_D,ASSET_E
2021-01-01,8e-05,-0.0043989037234287345,0.0008968909742475448,-0.011974782519011599,-0.00988797998132166,-0.01745450456764798,-0.0030573142579389903,-0.010988406784030099,-0.0017400223362451315,-0.011140440326658719
2021-01-04,8e-05,-0.014971613646119696,0.00936819625406847,0.0021682086622436766,0.0071875306552542624,-0.017680243737250804,0.0112087946550308,-0.015827657589102845,-0.012649130491923,-0.0029666641429426906
2021-01-05,8e-05,0.0037772773425691097,-0.0006012591365931103,0.005576667111111441,0.006054115944579022,0.008298440936879014,-0.0007646529744571627,0.053301608831255176,0.021306388548721356,0.0006107821629265375
2021-01-06,8e-05,0.0002044163209381553,0.0035235876760743917,0.002627840801268026,-0.0021075845720739356,-0.005106901394702087,-0.008668632052982374,-0.002158106118932121,0.0018325662506852654,-0.009706263934397066
2021-01-07,8e-05,0.016296785002850686,0.009004731324274083,0.0030258371861753334,0.0007794310533763644,0.03451259960476787,0.013282077124255708,-0.009017275965843778,0.00018512566041925527,0.02001273310508444
2021-01-08,8e-05,0.0036296801235274523,-0.014378982317417363,-0.0017898010869969833,0.003455937208110669,0.019098820801538935,0.005895256940610538,0.006305600124863598,0.019113814769156832,0.006421322992512796
2021-01-11,8e-05,-0.008778856367476736,-0.00726458409042688,0.005942965050431526,0.007252772816285722,-0.02256682515587176,-0.014702071557273055,0.003220631190835912,-0.019371902434094757,-0.0072296349112903465
2021-01-12,8e-05,-0.0172077437775467,-0.0061597473861270445,-0.0015636564248140057,0.005884201711093199,-0.015164243841390411,-0.013941693969618241,-0.03399029996959178,-0.029718442456782256,-0.018226250411257847
2021-01-13,8e-05,0.007097815746748588,0.007833960507120635,-0.0030724527034535582,0.003795227872322625,0.0392461505469736,0.008821496774896234,0.012937920474020988,0.03377666347795034,-0.004811790601744402
2021-01-14,8e-05,-0.003143568330417842,-0.007742753523079152,0.010185491846262221,-0.01182718607646698,0.011711531072440905,0.0025423027385198284,-0.027060470086854273,-0.018369306906782668,-0.009604020712246817
2021-01-15,8e-05,-0.00046396318031837917,-0.011938386439515012,0.01266371767049794,-0.0014383895966964405,-0.02609410967355588,-0.007433292757280695,-0.007285265721726561,-0.012962807537538097,0.004200007519317357
2021-01-18,8e-05,-0.0063449399014517145,0.0057738402847707405,-0.0008089016400126429,0.009240714385757718,0.00514199631402334,0.010604759230684683,-0.028510388878408174,0.0017867178996485216,-0.012531087525916897
2021-01-19,8e-05,-0.02164860312281392,-0.0036487186804589535,-0.001023089308123773,0.006415445227342493,-0.04547022151076058,-0.02942216427203142,-0.01180339418588974,-0.04027900621502913,-0.016058591358803432
2021-01-20,8e-05,0.010340647616433604,-0.0027247850894138413,-0.0037633364220797157,0.004496008766321498,0.023565230929565705,-0.010399024912260635,0.0195265495420223,0.028758017965546112,0.0051171066802246
2021-01-21,8e-05,0.005662779231808179,-0.0051642522608609295,-0.0012024114152028257,0.0032215233429791234,0.0071665857753190195,0.011771519687190864,-0.014745572388725085,0.002963128059926783,-0.002997989645613035
